dimensao,qtdParticulas,iteracoes,fatorDiversidade,cognitivo_socialFatores,profit
10,25,25,0.1,1.0,8.588763354287792
10,25,25,0.1,1.0,11.317902847055608
10,25,25,0.1,1.0,12.479047901790171
10,25,25,0.1,1.0,9.145235650584116
10,25,25,0.1,1.0,7.829145163872932
10,25,25,0.1,1.0,12.036534131829075
10,25,25,0.1,1.0,9.263391042492193
10,25,25,0.1,1.0,6.128229060703841
10,25,25,0.1,1.0,10.675834207332707
10,25,25,0.1,1.0,10.001011767423577
10,50,25,0.1,1.0,5.073884468063483
10,50,25,0.1,1.0,6.548687896503443
10,50,25,0.1,1.0,8.385434436659581
10,50,25,0.1,1.0,8.744145105958761
10,50,25,0.1,1.0,6.5073197809986
10,50,25,0.1,1.0,5.334106835502308
10,50,25,0.1,1.0,6.5220210139194625
10,50,25,0.1,1.0,8.418008743989674
10,50,25,0.1,1.0,8.858744248102123
10,50,25,0.1,1.0,8.187826279911983
10,100,25,0.1,1.0,5.1739083059460675
10,100,25,0.1,1.0,6.007478360984736
10,100,25,0.1,1.0,6.986414765736314
10,100,25,0.1,1.0,7.879984314191345
10,100,25,0.1,1.0,6.598075107492021
10,100,25,0.1,1.0,8.080210220191196
10,100,25,0.1,1.0,5.448337490241952
10,100,25,0.1,1.0,5.268403830967307
10,100,25,0.1,1.0,7.457702464667599
10,100,25,0.1,1.0,7.5319857077512555
20,25,25,0.1,1.0,20.494820816029634
20,25,25,0.1,1.0,23.738133584859902
20,25,25,0.1,1.0,22.838791728753066
20,25,25,0.1,1.0,22.233974102511837
20,25,25,0.1,1.0,26.998107536649993
20,25,25,0.1,1.0,21.683434431607324
20,25,25,0.1,1.0,19.432766035060563
20,25,25,0.1,1.0,20.195785675818964
20,25,25,0.1,1.0,19.40162910601927
20,25,25,0.1,1.0,22.845389966527964
20,50,25,0.1,1.0,25.734095451495254
20,50,25,0.1,1.0,20.89977701057108
20,50,25,0.1,1.0,20.785080952946156
20,50,25,0.1,1.0,25.849535167386072
20,50,25,0.1,1.0,19.86108187236794
20,50,25,0.1,1.0,27.87377689427038
20,50,25,0.1,1.0,21.946865041723296
20,50,25,0.1,1.0,25.25089038287018
20,50,25,0.1,1.0,19.452549957986466
20,50,25,0.1,1.0,18.43370784489088
20,100,25,0.1,1.0,18.543854142157105
20,100,25,0.1,1.0,24.076766127344406
20,100,25,0.1,1.0,19.85378748014883
20,100,25,0.1,1.0,22.89372700303155
20,100,25,0.1,1.0,19.43611968033395
20,100,25,0.1,1.0,22.26927705719663
20,100,25,0.1,1.0,22.471249925627124
20,100,25,0.1,1.0,21.953755888774275
20,100,25,0.1,1.0,21.872860862231093
20,100,25,0.1,1.0,26.11944614800889
30,25,25,0.1,1.0,47.79063874247403
30,25,25,0.1,1.0,41.41047353554692
30,25,25,0.1,1.0,40.01598447464089
30,25,25,0.1,1.0,38.40140833083792
30,25,25,0.1,1.0,39.756838339878016
30,25,25,0.1,1.0,37.229967915784535
30,25,25,0.1,1.0,43.33607770252624
30,25,25,0.1,1.0,42.89206238591055
