<<<<<<< HEAD
,Media,Desvio,Melhor Fitness
1,0.20737152516288826,0.0420246988066603,0.12882907178537595
2,0.2082214835221849,0.036310498539029845,0.10906855968244544
3,0.06806048306316026,0.02066521164697969,0.03543454508281885
4,0.34661141556228053,0.6017943734482265,0.10608545350158538
5,0.4232412193272181,0.6905104031084909,0.24150614079174249
6,0.23612323742958657,0.45222859084845435,0.12909160162099242
7,0.05718355770141084,0.008503757697799826,0.046937323619783644
8,0.0014910276629264807,0.002022733123049632,0.0003286926737797735
9,0.09001333917448048,0.39228520970183045,1.69399041678453e-05
10,0.0863512746476044,0.4632827129089869,0.0029356831240545667
11,0.0023952325280967024,0.0007944025181867361,0.0012491445126205925
12,0.16664147274638874,0.5151439256375748,0.019072810378113036
=======
,Media, Desvio, Melhor Fitness
1,0.00320646140702315,0.0020875350948618304,0.0004921292047979087
2,0.0011159518362355001,0.00020744921815888954,0.000774994538389695
>>>>>>> 0a135220ffa8ae2808bafc49287b3e167c6644cd
