sol,tempo_exec,tam_solucao,listaSeed
15.33,20.46,5,"[51, 57, 43, 27, 40]"
15.8,20.64,5,"[51, 57, 40, 43, 27]"
24.65,40.85,10,"[51, 57, 47, 40, 45, 43, 44, 25, 54, 59]"
23.43,42.42,10,"[51, 57, 40, 47, 50, 45, 30, 43, 54, 28]"
31.62,61.35,15,"[51, 57, 47, 40, 43, 44, 45, 54, 58, 59, 32, 31, 61, 52, 27]"
30.95,61.11,15,"[45, 57, 44, 50, 40, 27, 43, 51, 47, 26, 35, 60, 49, 54, 42]"
37.71,81.46,20,"[51, 57, 47, 43, 50, 40, 45, 27, 61, 44, 59, 49, 60, 54, 35, 56, 41, 22, 52, 30]"
37.29,83.47,20,"[51, 57, 40, 47, 52, 43, 50, 59, 32, 44, 54, 27, 56, 61, 35, 31, 28, 46, 12, 37]"
41.26,111.01,25,"[51, 57, 40, 47, 43, 54, 45, 27, 59, 61, 49, 60, 22, 34, 44, 3, 38, 11, 35, 28, 56, 41, 52, 42, 31]"
41.86,115.47,25,"[51, 57, 50, 40, 47, 43, 27, 45, 54, 44, 42, 9, 59, 61, 46, 58, 49, 53, 48, 22, 35, 56, 52, 28, 32]"
46.25,131.75,30,"[51, 40, 57, 47, 44, 61, 25, 59, 50, 41, 52, 46, 27, 32, 4, 56, 19, 45, 54, 43, 58, 60, 49, 42, 28, 22, 37, 31, 11, 55]"
46.42,189.4,30,"[51, 57, 50, 40, 27, 44, 59, 47, 61, 36, 43, 22, 49, 32, 42, 10, 54, 4, 26, 58, 35, 56, 45, 30, 52, 39, 17, 19, 55, 12]"
50.18,225.3,35,"[51, 57, 37, 47, 27, 50, 44, 54, 52, 59, 49, 43, 26, 31, 60, 11, 42, 40, 13, 56, 58, 55, 19, 22, 61, 46, 35, 30, 9, 48, 24, 39, 28, 45, 6]"
50.49,155.72,35,"[51, 57, 45, 47, 40, 44, 27, 32, 43, 54, 61, 50, 49, 35, 59, 11, 31, 52, 30, 55, 56, 12, 58, 39, 24, 60, 42, 41, 13, 46, 28, 19, 26, 22, 48]"
53.71,139.64,40,"[51, 57, 40, 38, 47, 27, 43, 44, 59, 50, 54, 35, 56, 61, 22, 46, 55, 37, 26, 32, 52, 53, 31, 49, 30, 45, 12, 11, 42, 41, 4, 23, 48, 60, 28, 18, 5, 58, 39, 19]"
53.48,146.43,40,"[51, 57, 40, 45, 43, 47, 28, 27, 44, 37, 60, 50, 56, 49, 58, 59, 54, 52, 53, 61, 39, 22, 55, 35, 11, 26, 30, 0, 31, 9, 32, 19, 29, 4, 25, 12, 42, 34, 41, 48]"
56.56,174.39,45,"[51, 57, 50, 40, 27, 47, 43, 54, 44, 61, 11, 59, 55, 49, 24, 30, 52, 35, 32, 3, 56, 12, 31, 22, 26, 60, 42, 39, 48, 58, 37, 13, 8, 28, 23, 46, 38, 17, 19, 25, 45, 53, 4, 41, 10]"
56.57,155.41,45,"[51, 57, 47, 43, 40, 59, 27, 60, 44, 30, 50, 58, 32, 45, 49, 61, 35, 54, 22, 56, 31, 41, 16, 52, 42, 39, 4, 12, 26, 11, 48, 55, 3, 36, 53, 19, 46, 25, 28, 23, 13, 34, 38, 37, 24]"
58.28,155.82,50,"[51, 57, 47, 40, 43, 59, 27, 31, 45, 38, 42, 54, 50, 28, 60, 22, 61, 49, 32, 44, 35, 55, 26, 52, 58, 39, 56, 23, 48, 46, 12, 34, 41, 29, 7, 20, 19, 11, 4, 24, 53, 9, 30, 6, 16, 2, 37, 10, 17, 3]"
58.48,155.19,50,"[51, 57, 40, 47, 43, 27, 59, 54, 45, 34, 32, 58, 35, 42, 24, 56, 55, 44, 52, 50, 61, 49, 22, 31, 39, 5, 48, 26, 46, 60, 28, 53, 9, 30, 10, 21, 11, 4, 41, 36, 3, 12, 25, 23, 15, 7, 37, 2, 20, 1]"
60.21,173.26,55,"[50, 51, 57, 47, 40, 44, 43, 54, 61, 27, 52, 28, 59, 60, 58, 31, 45, 42, 22, 35, 17, 11, 49, 26, 56, 38, 19, 55, 4, 32, 41, 12, 7, 53, 18, 39, 37, 48, 6, 23, 10, 46, 34, 25, 24, 3, 13, 21, 2, 30, 0, 29, 9, 8, 36]"
60.36,206.65,55,"[51, 57, 59, 47, 52, 43, 27, 61, 46, 50, 54, 12, 15, 56, 44, 22, 60, 26, 40, 9, 58, 36, 42, 49, 35, 5, 28, 37, 31, 30, 55, 32, 45, 41, 11, 48, 10, 53, 19, 39, 3, 34, 4, 25, 38, 23, 8, 24, 2, 29, 16, 13, 6, 21, 20]"
