sol,tempo_exec,tam_solucao,listaSeed
13.39,7.96,5,"[33, 7, 32, 6, 10]"
12.64,8.24,5,"[33, 32, 13, 16, 25]"
18.77,13.62,10,"[33, 32, 16, 21, 3, 7, 10, 11, 27, 25]"
18.08,13.73,10,"[33, 32, 7, 16, 21, 12, 31, 4, 26, 10]"
23.28,19.32,15,"[33, 32, 7, 17, 25, 10, 6, 28, 16, 13, 21, 26, 20, 12, 11]"
23.54,19.9,15,"[33, 7, 32, 6, 12, 4, 19, 10, 17, 27, 11, 13, 21, 16, 31]"
27.32,26.52,20,"[33, 32, 10, 7, 6, 13, 16, 21, 18, 11, 24, 12, 17, 31, 25, 30, 27, 29, 28, 19]"
27.24,23.93,20,"[33, 32, 7, 6, 3, 21, 25, 17, 10, 9, 16, 27, 11, 13, 26, 19, 12, 31, 28, 15]"
30.46,26.76,25,"[33, 32, 7, 12, 27, 16, 10, 17, 21, 6, 25, 19, 28, 11, 13, 9, 26, 29, 30, 31, 14, 20, 5, 18, 22]"
30.48,26.91,25,"[33, 32, 7, 25, 16, 21, 10, 13, 30, 27, 6, 11, 28, 12, 17, 29, 19, 9, 24, 31, 15, 14, 22, 4, 20]"
