,Media,Desvio,Melhor Fitness
1,11607981.985136798,1470431.9801256633,13182136.204413211
2,11229379.354603197,1798861.027926545,13241589.538438957
3,11224131.207259418,1956385.4491180084,13117225.914924314
4,11661298.517095642,1321062.695178177,13105322.599736733
5,11752671.542012412,1184072.9940471295,13212527.385790218
6,11291637.192834685,1549655.8700550403,13032387.775599686
7,11852548.092839334,1217246.031116778,13258040.497312693
8,11575088.665518565,1296205.015007121,13210885.062869564
9,11482138.397826107,1353127.0515772188,13070809.856622705
10,10772900.509472119,1888825.6260373811,12869801.699287029
